index,timestamp,year,month,day_month,day_name,number,temperature,temperature_feels,hum,wind_speed,weather_code,is_holiday,is_weekend,season
0,2015-01-04 00:00:00,2015,Jan,4,Sunday,182,3.0,2.0,93.0,6.0,3.0,0.0,1.0,3.0
1,2015-01-04 01:00:00,2015,Jan,4,Sunday,138,3.0,2.5,93.0,5.0,1.0,0.0,1.0,3.0
2,2015-01-04 02:00:00,2015,Jan,4,Sunday,134,2.5,2.5,96.5,0.0,1.0,0.0,1.0,3.0
3,2015-01-04 03:00:00,2015,Jan,4,Sunday,72,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0
4,2015-01-04 04:00:00,2015,Jan,4,Sunday,47,2.0,0.0,93.0,6.5,1.0,0.0,1.0,3.0
5,2015-01-04 05:00:00,2015,Jan,4,Sunday,46,2.0,2.0,93.0,4.0,1.0,0.0,1.0,3.0
6,2015-01-04 06:00:00,2015,Jan,4,Sunday,51,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0
7,2015-01-04 07:00:00,2015,Jan,4,Sunday,75,1.0,-1.0,100.0,7.0,4.0,0.0,1.0,3.0
8,2015-01-04 08:00:00,2015,Jan,4,Sunday,131,1.5,-1.0,96.5,8.0,4.0,0.0,1.0,3.0
9,2015-01-04 09:00:00,2015,Jan,4,Sunday,301,2.0,-0.5,100.0,9.0,3.0,0.0,1.0,3.0
10,2015-01-04 10:00:00,2015,Jan,4,Sunday,528,3.0,-0.5,93.0,12.0,3.0,0.0,1.0,3.0
11,2015-01-04 11:00:00,2015,Jan,4,Sunday,727,2.0,-1.5,100.0,12.0,3.0,0.0,1.0,3.0
12,2015-01-04 12:00:00,2015,Jan,4,Sunday,862,2.0,-1.5,96.5,13.0,4.0,0.0,1.0,3.0
13,2015-01-04 13:00:00,2015,Jan,4,Sunday,916,3.0,-0.5,87.0,15.0,3.0,0.0,1.0,3.0
14,2015-01-04 14:00:00,2015,Jan,4,Sunday,1039,2.5,0.0,90.0,8.0,3.0,0.0,1.0,3.0
15,2015-01-04 15:00:00,2015,Jan,4,Sunday,869,2.0,-1.5,93.0,11.0,3.0,0.0,1.0,3.0
16,2015-01-04 16:00:00,2015,Jan,4,Sunday,737,3.0,0.0,93.0,12.0,3.0,0.0,1.0,3.0
17,2015-01-04 17:00:00,2015,Jan,4,Sunday,594,3.0,0.0,93.0,11.0,3.0,0.0,1.0,3.0
18,2015-01-04 18:00:00,2015,Jan,4,Sunday,522,3.0,1.5,93.0,6.5,3.0,0.0,1.0,3.0
19,2015-01-04 19:00:00,2015,Jan,4,Sunday,379,3.0,1.0,93.0,7.0,3.0,0.0,1.0,3.0
20,2015-01-04 20:00:00,2015,Jan,4,Sunday,328,3.0,3.0,93.0,4.0,3.0,0.0,1.0,3.0
21,2015-01-04 21:00:00,2015,Jan,4,Sunday,221,3.0,2.5,93.0,5.0,4.0,0.0,1.0,3.0
22,2015-01-04 22:00:00,2015,Jan,4,Sunday,178,3.0,2.0,93.0,6.0,4.0,0.0,1.0,3.0
23,2015-01-04 23:00:00,2015,Jan,4,Sunday,157,4.0,3.5,87.0,5.0,4.0,0.0,1.0,3.0
